{'t': 124000, 'eps': 0.8884, 'loss': 1.1946772, 'buf_n': 124000, 'cum_reward': None}
{'t': 125000, 'eps': 0.8875, 'loss': 1.1229739, 'buf_n': 125000, 'cum_reward': None}
{'t': 126000, 'eps': 0.8866, 'loss': 2.678543, 'buf_n': 126000, 'cum_reward': None}
{'t': 127000, 'eps': 0.8857, 'loss': 0.7723947, 'buf_n': 127000, 'cum_reward': None}
{'t': 128000, 'eps': 0.8848, 'loss': 0.8722147, 'buf_n': 128000, 'cum_reward': None}
{'t': 129000, 'eps': 0.8839, 'loss': 1.1502211, 'buf_n': 129000, 'cum_reward': None}
{'t': 130000, 'eps': 0.883, 'loss': 1.2155805, 'buf_n': 130000, 'cum_reward': None}
{'t': 131000, 'eps': 0.8821, 'loss': 1.6826478, 'buf_n': 131000, 'cum_reward': None}
{'t': 132000, 'eps': 0.8812, 'loss': 66.45906, 'buf_n': 132000, 'cum_reward': None}
{'t': 133000, 'eps': 0.8803, 'loss': 1.3891574, 'buf_n': 133000, 'cum_reward': None}
{'t': 134000, 'eps': 0.8794, 'loss': 1.4638995, 'buf_n': 134000, 'cum_reward': None}
{'t': 135000, 'eps': 0.8785, 'loss': 2.1072488, 'buf_n': 135000, 'cum_reward': None}
{'t': 136000, 'eps': 0.8775999999999999, 'loss': 2.1915917, 'buf_n': 136000, 'cum_reward': None}
{'t': 137000, 'eps': 0.8767, 'loss': 1.0452119, 'buf_n': 137000, 'cum_reward': None}
{'t': 138000, 'eps': 0.8758, 'loss': 0.9703201, 'buf_n': 138000, 'cum_reward': None}
{'t': 139000, 'eps': 0.8749, 'loss': 1.4497516, 'buf_n': 139000, 'cum_reward': None}
{'t': 140000, 'eps': 0.874, 'loss': 0.80279887, 'buf_n': 140000, 'cum_reward': None}
{'t': 141000, 'eps': 0.8731, 'loss': 1.0905249, 'buf_n': 141000, 'cum_reward': None}
{'t': 142000, 'eps': 0.8722, 'loss': 2.2199578, 'buf_n': 142000, 'cum_reward': None}
{'t': 143000, 'eps': 0.8713, 'loss': 1.2432883, 'buf_n': 143000, 'cum_reward': None}
{'t': 144000, 'eps': 0.8704000000000001, 'loss': 1.814431, 'buf_n': 144000, 'cum_reward': None}
{'t': 145000, 'eps': 0.8694999999999999, 'loss': 0.8194746, 'buf_n': 145000, 'cum_reward': None}
{'t': 146000, 'eps': 0.8686, 'loss': 1.4695995, 'buf_n': 146000, 'cum_reward': None}
{'t': 147000, 'eps': 0.8677, 'loss': 1.5055451, 'buf_n': 147000, 'cum_reward': None}
{'t': 148000, 'eps': 0.8668, 'loss': 2.1942937, 'buf_n': 148000, 'cum_reward': None}
{'t': 149000, 'eps': 0.8659, 'loss': 0.926711, 'buf_n': 149000, 'cum_reward': None}
{'t': 150000, 'eps': 0.865, 'loss': 1.6581784, 'buf_n': 150000, 'cum_reward': None}
{'t': 151000, 'eps': 0.8641, 'loss': 1.6404878, 'buf_n': 151000, 'cum_reward': None}
{'t': 152000, 'eps': 0.8632, 'loss': 1.396904, 'buf_n': 152000, 'cum_reward': None}
{'t': 153000, 'eps': 0.8623000000000001, 'loss': 1.0687256, 'buf_n': 153000, 'cum_reward': None}
{'t': 154000, 'eps': 0.8613999999999999, 'loss': 1.8937311, 'buf_n': 154000, 'cum_reward': None}
{'t': 155000, 'eps': 0.8605, 'loss': 0.7400701, 'buf_n': 155000, 'cum_reward': None}
{'t': 156000, 'eps': 0.8596, 'loss': 2.075149, 'buf_n': 156000, 'cum_reward': None}
{'t': 157000, 'eps': 0.8587, 'loss': 1.1576616, 'buf_n': 157000, 'cum_reward': None}
{'t': 158000, 'eps': 0.8578, 'loss': 1.1288519, 'buf_n': 158000, 'cum_reward': None}
{'t': 159000, 'eps': 0.8569, 'loss': 1.0615227, 'buf_n': 159000, 'cum_reward': None}
{'t': 160000, 'eps': 0.856, 'loss': 1.6083534, 'buf_n': 160000, 'cum_reward': None}
{'t': 161000, 'eps': 0.8551, 'loss': 0.7300042, 'buf_n': 161000, 'cum_reward': None}
{'t': 162000, 'eps': 0.8542, 'loss': 1.9213744, 'buf_n': 162000, 'cum_reward': None}
{'t': 163000, 'eps': 0.8533, 'loss': 1.2685091, 'buf_n': 163000, 'cum_reward': None}
{'t': 164000, 'eps': 0.8524, 'loss': 3.6713006, 'buf_n': 164000, 'cum_reward': None}
{'t': 165000, 'eps': 0.8514999999999999, 'loss': 0.70367, 'buf_n': 165000, 'cum_reward': None}
{'t': 166000, 'eps': 0.8506, 'loss': 1.2490675, 'buf_n': 166000, 'cum_reward': None}
{'t': 167000, 'eps': 0.8497, 'loss': 1.2341418, 'buf_n': 167000, 'cum_reward': None}
{'t': 168000, 'eps': 0.8488, 'loss': 1.2203552, 'buf_n': 168000, 'cum_reward': None}
{'t': 169000, 'eps': 0.8479, 'loss': 1.1360502, 'buf_n': 169000, 'cum_reward': None}
{'t': 170000, 'eps': 0.847, 'loss': 1.5036552, 'buf_n': 170000, 'cum_reward': None}
{'t': 171000, 'eps': 0.8461, 'loss': 1.3703604, 'buf_n': 171000, 'cum_reward': None}
{'t': 172000, 'eps': 0.8452, 'loss': 0.6733558, 'buf_n': 172000, 'cum_reward': None}
{'t': 173000, 'eps': 0.8443, 'loss': 1.6795614, 'buf_n': 173000, 'cum_reward': None}
{'t': 174000, 'eps': 0.8434, 'loss': 1.9134493, 'buf_n': 174000, 'cum_reward': None}
{'t': 175000, 'eps': 0.8425, 'loss': 2.5337424, 'buf_n': 175000, 'cum_reward': None}
{'t': 176000, 'eps': 0.8416, 'loss': 1.9950256, 'buf_n': 176000, 'cum_reward': None}
{'t': 177000, 'eps': 0.8407, 'loss': 1.1033363, 'buf_n': 177000, 'cum_reward': None}
{'t': 178000, 'eps': 0.8398, 'loss': 1.3677855, 'buf_n': 178000, 'cum_reward': None}
{'t': 179000, 'eps': 0.8389, 'loss': 1.1606667, 'buf_n': 179000, 'cum_reward': None}
{'t': 180000, 'eps': 0.838, 'loss': 1.2970394, 'buf_n': 180000, 'cum_reward': None}
{'t': 181000, 'eps': 0.8371, 'loss': 0.8252502, 'buf_n': 181000, 'cum_reward': None}
{'t': 182000, 'eps': 0.8362, 'loss': 1.2769876, 'buf_n': 182000, 'cum_reward': None}
{'t': 183000, 'eps': 0.8352999999999999, 'loss': 62.907238, 'buf_n': 183000, 'cum_reward': None}
{'t': 184000, 'eps': 0.8344, 'loss': 1.5207663, 'buf_n': 184000, 'cum_reward': None}
{'t': 185000, 'eps': 0.8335, 'loss': 1.5754907, 'buf_n': 185000, 'cum_reward': None}
{'t': 186000, 'eps': 0.8326, 'loss': 1.1629484, 'buf_n': 186000, 'cum_reward': None}
{'t': 187000, 'eps': 0.8317, 'loss': 1.2819133, 'buf_n': 187000, 'cum_reward': None}
{'t': 188000, 'eps': 0.8308, 'loss': 0.9844002, 'buf_n': 188000, 'cum_reward': None}
{'t': 189000, 'eps': 0.8299, 'loss': 1.620218, 'buf_n': 189000, 'cum_reward': None}
{'t': 190000, 'eps': 0.829, 'loss': 1.0671813, 'buf_n': 190000, 'cum_reward': None}
{'t': 191000, 'eps': 0.8281000000000001, 'loss': 0.9187305, 'buf_n': 191000, 'cum_reward': None}
{'t': 192000, 'eps': 0.8271999999999999, 'loss': 1.8187544, 'buf_n': 192000, 'cum_reward': None}
{'t': 193000, 'eps': 0.8263, 'loss': 0.79924476, 'buf_n': 193000, 'cum_reward': None}
{'t': 194000, 'eps': 0.8254, 'loss': 1.447531, 'buf_n': 194000, 'cum_reward': None}
{'t': 195000, 'eps': 0.8245, 'loss': 1.2656187, 'buf_n': 195000, 'cum_reward': None}
{'t': 196000, 'eps': 0.8236, 'loss': 2.7683425, 'buf_n': 196000, 'cum_reward': None}
{'t': 197000, 'eps': 0.8227, 'loss': 1.1601492, 'buf_n': 197000, 'cum_reward': None}
{'t': 198000, 'eps': 0.8218, 'loss': 1.1524067, 'buf_n': 198000, 'cum_reward': None}
{'t': 199000, 'eps': 0.8209, 'loss': 1.1783128, 'buf_n': 199000, 'cum_reward': None}
{'t': 200000, 'eps': 0.82, 'loss': 2.8770022, 'buf_n': 200000, 'cum_reward': None}
{'t': 201000, 'eps': 0.8190999999999999, 'loss': 1.3824557, 'buf_n': 201000, 'cum_reward': None}
{'t': 202000, 'eps': 0.8182, 'loss': 1.8858551, 'buf_n': 202000, 'cum_reward': None}
{'t': 203000, 'eps': 0.8172999999999999, 'loss': 0.74295044, 'buf_n': 203000, 'cum_reward': None}
{'t': 204000, 'eps': 0.8164, 'loss': 1.380665, 'buf_n': 204000, 'cum_reward': None}
{'t': 205000, 'eps': 0.8155, 'loss': 0.7937777, 'buf_n': 205000, 'cum_reward': None}
{'t': 206000, 'eps': 0.8146, 'loss': 1.0858858, 'buf_n': 206000, 'cum_reward': None}
{'t': 207000, 'eps': 0.8137, 'loss': 1.090485, 'buf_n': 207000, 'cum_reward': None}
{'t': 208000, 'eps': 0.8128, 'loss': 1.5160162, 'buf_n': 208000, 'cum_reward': None}
{'t': 209000, 'eps': 0.8119000000000001, 'loss': 1.3249887, 'buf_n': 209000, 'cum_reward': None}
{'t': 210000, 'eps': 0.8109999999999999, 'loss': 2.6021714, 'buf_n': 210000, 'cum_reward': None}
{'t': 211000, 'eps': 0.8101, 'loss': 3.2157996, 'buf_n': 211000, 'cum_reward': None}
{'t': 212000, 'eps': 0.8092, 'loss': 1.7547321, 'buf_n': 212000, 'cum_reward': None}
{'t': 213000, 'eps': 0.8083, 'loss': 1.2953515, 'buf_n': 213000, 'cum_reward': None}
{'t': 214000, 'eps': 0.8074, 'loss': 1.4938109, 'buf_n': 214000, 'cum_reward': None}
{'t': 215000, 'eps': 0.8065, 'loss': 1.5031816, 'buf_n': 215000, 'cum_reward': None}
{'t': 216000, 'eps': 0.8056, 'loss': 1.5568058, 'buf_n': 216000, 'cum_reward': None}
{'t': 217000, 'eps': 0.8047, 'loss': 0.97402817, 'buf_n': 217000, 'cum_reward': None}
{'t': 218000, 'eps': 0.8038, 'loss': 1.4827847, 'buf_n': 218000, 'cum_reward': None}
{'t': 219000, 'eps': 0.8029, 'loss': 1.2407451, 'buf_n': 219000, 'cum_reward': None}
{'t': 220000, 'eps': 0.802, 'loss': 1.0827287, 'buf_n': 220000, 'cum_reward': None}
{'t': 221000, 'eps': 0.8011, 'loss': 2.1578624, 'buf_n': 221000, 'cum_reward': None}
{'t': 222000, 'eps': 0.8002, 'loss': 1.289943, 'buf_n': 222000, 'cum_reward': None}
{'t': 223000, 'eps': 0.7993, 'loss': 1.7599605, 'buf_n': 223000, 'cum_reward': None}
{'t': 224000, 'eps': 0.7984, 'loss': 0.6743604, 'buf_n': 224000, 'cum_reward': None}
{'t': 225000, 'eps': 0.7975, 'loss': 1.3804561, 'buf_n': 225000, 'cum_reward': None}
{'t': 226000, 'eps': 0.7966, 'loss': 1.437115, 'buf_n': 226000, 'cum_reward': None}
{'t': 227000, 'eps': 0.7957, 'loss': 0.92818254, 'buf_n': 227000, 'cum_reward': None}
{'t': 228000, 'eps': 0.7948, 'loss': 1.4548516, 'buf_n': 228000, 'cum_reward': None}
{'t': 229000, 'eps': 0.7939, 'loss': 2.6951315, 'buf_n': 229000, 'cum_reward': None}
{'t': 230000, 'eps': 0.7929999999999999, 'loss': 0.8422258, 'buf_n': 230000, 'cum_reward': None}
{'t': 231000, 'eps': 0.7921, 'loss': 0.7253666, 'buf_n': 231000, 'cum_reward': None}
{'t': 232000, 'eps': 0.7912, 'loss': 2.384317, 'buf_n': 232000, 'cum_reward': None}
{'t': 233000, 'eps': 0.7903, 'loss': 1.250528, 'buf_n': 233000, 'cum_reward': None}
{'t': 234000, 'eps': 0.7894, 'loss': 1.5556536, 'buf_n': 234000, 'cum_reward': None}
{'t': 235000, 'eps': 0.7885, 'loss': 1.222508, 'buf_n': 235000, 'cum_reward': None}
{'t': 236000, 'eps': 0.7876, 'loss': 1.9310158, 'buf_n': 236000, 'cum_reward': None}
{'t': 237000, 'eps': 0.7867, 'loss': 1.3544009, 'buf_n': 237000, 'cum_reward': None}
{'t': 238000, 'eps': 0.7858, 'loss': 2.0636566, 'buf_n': 238000, 'cum_reward': None}
{'t': 239000, 'eps': 0.7849, 'loss': 0.8291134, 'buf_n': 239000, 'cum_reward': None}
{'t': 240000, 'eps': 0.784, 'loss': 0.61331975, 'buf_n': 240000, 'cum_reward': None}
{'t': 241000, 'eps': 0.7831, 'loss': 1.62151, 'buf_n': 241000, 'cum_reward': None}
{'t': 242000, 'eps': 0.7822, 'loss': 2.0524988, 'buf_n': 242000, 'cum_reward': None}
{'t': 243000, 'eps': 0.7813, 'loss': 1.650503, 'buf_n': 243000, 'cum_reward': None}
{'t': 244000, 'eps': 0.7804, 'loss': 0.93388087, 'buf_n': 244000, 'cum_reward': None}
{'t': 245000, 'eps': 0.7795, 'loss': 1.3833036, 'buf_n': 245000, 'cum_reward': None}
{'t': 246000, 'eps': 0.7786, 'loss': 1.6576369, 'buf_n': 246000, 'cum_reward': None}
{'t': 247000, 'eps': 0.7777000000000001, 'loss': 1.6514287, 'buf_n': 247000, 'cum_reward': None}
{'t': 248000, 'eps': 0.7767999999999999, 'loss': 1.3350518, 'buf_n': 248000, 'cum_reward': None}
{'t': 249000, 'eps': 0.7759, 'loss': 4.2322474, 'buf_n': 249000, 'cum_reward': None}
{'t': 250000, 'eps': 0.775, 'loss': 1.0547488, 'buf_n': 250000, 'cum_reward': None}
{'t': 251000, 'eps': 0.7741, 'loss': 0.9391635, 'buf_n': 251000, 'cum_reward': None}
{'t': 252000, 'eps': 0.7732, 'loss': 1.4159703, 'buf_n': 252000, 'cum_reward': None}
{'t': 253000, 'eps': 0.7723, 'loss': 1.3629328, 'buf_n': 253000, 'cum_reward': None}
{'t': 254000, 'eps': 0.7714, 'loss': 1.2740659, 'buf_n': 254000, 'cum_reward': None}
{'t': 255000, 'eps': 0.7705, 'loss': 1.5534849, 'buf_n': 255000, 'cum_reward': None}
{'t': 256000, 'eps': 0.7696, 'loss': 1.6257442, 'buf_n': 256000, 'cum_reward': None}
{'t': 257000, 'eps': 0.7686999999999999, 'loss': 1.2089195, 'buf_n': 257000, 'cum_reward': None}
{'t': 258000, 'eps': 0.7678, 'loss': 2.1811843, 'buf_n': 258000, 'cum_reward': None}
{'t': 259000, 'eps': 0.7669, 'loss': 1.4006569, 'buf_n': 259000, 'cum_reward': None}
{'t': 260000, 'eps': 0.766, 'loss': 1.7326806, 'buf_n': 260000, 'cum_reward': None}
{'t': 261000, 'eps': 0.7651, 'loss': 1.1975303, 'buf_n': 261000, 'cum_reward': None}
{'t': 262000, 'eps': 0.7642, 'loss': 0.98482895, 'buf_n': 262000, 'cum_reward': None}
{'t': 263000, 'eps': 0.7633, 'loss': 0.8814765, 'buf_n': 263000, 'cum_reward': None}
{'t': 264000, 'eps': 0.7624, 'loss': 2.2855473, 'buf_n': 264000, 'cum_reward': None}
{'t': 265000, 'eps': 0.7615, 'loss': 2.0009, 'buf_n': 265000, 'cum_reward': None}
{'t': 266000, 'eps': 0.7605999999999999, 'loss': 1.2692059, 'buf_n': 266000, 'cum_reward': None}
{'t': 267000, 'eps': 0.7597, 'loss': 1.973808, 'buf_n': 267000, 'cum_reward': None}
{'t': 268000, 'eps': 0.7587999999999999, 'loss': 0.8571534, 'buf_n': 268000, 'cum_reward': None}
{'t': 269000, 'eps': 0.7579, 'loss': 1.0711331, 'buf_n': 269000, 'cum_reward': None}
{'t': 270000, 'eps': 0.757, 'loss': 2.3101487, 'buf_n': 270000, 'cum_reward': None}
{'t': 271000, 'eps': 0.7561, 'loss': 2.106731, 'buf_n': 271000, 'cum_reward': None}
{'t': 272000, 'eps': 0.7552, 'loss': 3.609788, 'buf_n': 272000, 'cum_reward': None}
{'t': 273000, 'eps': 0.7543, 'loss': 2.441553, 'buf_n': 273000, 'cum_reward': None}
