{'t': 181000, 'eps': 0.82805, 'loss': 19.862686, 'buf_n': 181000, 'cum_reward': None}
{'t': 182000, 'eps': 0.8271, 'loss': 74.54416, 'buf_n': 182000, 'cum_reward': None}
{'t': 183000, 'eps': 0.82615, 'loss': 53.82759, 'buf_n': 183000, 'cum_reward': None}
{'t': 184000, 'eps': 0.8252, 'loss': 50.08087, 'buf_n': 184000, 'cum_reward': None}
{'t': 185000, 'eps': 0.82425, 'loss': 31.90023, 'buf_n': 185000, 'cum_reward': None}
{'t': 186000, 'eps': 0.8233, 'loss': 24.530235, 'buf_n': 186000, 'cum_reward': None}
{'t': 187000, 'eps': 0.82235, 'loss': 38.27578, 'buf_n': 187000, 'cum_reward': None}
{'t': 188000, 'eps': 0.8214, 'loss': 28.631577, 'buf_n': 188000, 'cum_reward': None}
{'t': 189000, 'eps': 0.82045, 'loss': 25.212715, 'buf_n': 189000, 'cum_reward': None}
{'t': 190000, 'eps': 0.8195, 'loss': 73.737915, 'buf_n': 190000, 'cum_reward': None}
{'t': 191000, 'eps': 0.81855, 'loss': 25.725824, 'buf_n': 191000, 'cum_reward': None}
{'t': 192000, 'eps': 0.8176, 'loss': 19.725698, 'buf_n': 192000, 'cum_reward': None}
{'t': 193000, 'eps': 0.81665, 'loss': 32.265324, 'buf_n': 193000, 'cum_reward': None}
{'t': 194000, 'eps': 0.8157, 'loss': 49.70462, 'buf_n': 194000, 'cum_reward': None}
{'t': 195000, 'eps': 0.81475, 'loss': 37.05905, 'buf_n': 195000, 'cum_reward': None}
{'t': 196000, 'eps': 0.8138, 'loss': 45.464558, 'buf_n': 196000, 'cum_reward': None}
{'t': 197000, 'eps': 0.81285, 'loss': 38.595875, 'buf_n': 197000, 'cum_reward': None}
{'t': 198000, 'eps': 0.8119000000000001, 'loss': 34.364952, 'buf_n': 198000, 'cum_reward': None}
{'t': 199000, 'eps': 0.8109500000000001, 'loss': 35.53385, 'buf_n': 199000, 'cum_reward': None}
{'t': 200000, 'eps': 0.81, 'loss': 20.461014, 'buf_n': 200000, 'cum_reward': None}
{'t': 201000, 'eps': 0.80905, 'loss': 23.979061, 'buf_n': 201000, 'cum_reward': None}
{'t': 202000, 'eps': 0.8081, 'loss': 47.263252, 'buf_n': 202000, 'cum_reward': None}
{'t': 203000, 'eps': 0.80715, 'loss': 24.64082, 'buf_n': 203000, 'cum_reward': None}
{'t': 204000, 'eps': 0.8062, 'loss': 58.63547, 'buf_n': 204000, 'cum_reward': None}
{'t': 205000, 'eps': 0.80525, 'loss': 30.228308, 'buf_n': 205000, 'cum_reward': None}
{'t': 206000, 'eps': 0.8043, 'loss': 32.416443, 'buf_n': 206000, 'cum_reward': None}
{'t': 207000, 'eps': 0.80335, 'loss': 27.006346, 'buf_n': 207000, 'cum_reward': None}
{'t': 208000, 'eps': 0.8024, 'loss': 39.82988, 'buf_n': 208000, 'cum_reward': None}
{'t': 209000, 'eps': 0.80145, 'loss': 19.587828, 'buf_n': 209000, 'cum_reward': None}
{'t': 210000, 'eps': 0.8005, 'loss': 82.23005, 'buf_n': 210000, 'cum_reward': None}
{'t': 211000, 'eps': 0.79955, 'loss': 19.34327, 'buf_n': 211000, 'cum_reward': None}
{'t': 212000, 'eps': 0.7986, 'loss': 377.5523, 'buf_n': 212000, 'cum_reward': None}
{'t': 213000, 'eps': 0.79765, 'loss': 29.63742, 'buf_n': 213000, 'cum_reward': None}
{'t': 214000, 'eps': 0.7967, 'loss': 16.098562, 'buf_n': 214000, 'cum_reward': None}
{'t': 215000, 'eps': 0.79575, 'loss': 49.306576, 'buf_n': 215000, 'cum_reward': None}
{'t': 216000, 'eps': 0.7948, 'loss': 30.21737, 'buf_n': 216000, 'cum_reward': None}
{'t': 217000, 'eps': 0.79385, 'loss': 32.33702, 'buf_n': 217000, 'cum_reward': None}
{'t': 218000, 'eps': 0.7929, 'loss': 47.663574, 'buf_n': 218000, 'cum_reward': None}
{'t': 219000, 'eps': 0.79195, 'loss': 17.135891, 'buf_n': 219000, 'cum_reward': None}
{'t': 220000, 'eps': 0.791, 'loss': 20.510899, 'buf_n': 220000, 'cum_reward': None}
{'t': 221000, 'eps': 0.79005, 'loss': 49.643364, 'buf_n': 221000, 'cum_reward': None}
{'t': 222000, 'eps': 0.7891, 'loss': 47.195374, 'buf_n': 222000, 'cum_reward': None}
{'t': 223000, 'eps': 0.78815, 'loss': 40.00576, 'buf_n': 223000, 'cum_reward': None}
{'t': 224000, 'eps': 0.7872, 'loss': 26.630508, 'buf_n': 224000, 'cum_reward': None}
{'t': 225000, 'eps': 0.78625, 'loss': 19.225964, 'buf_n': 225000, 'cum_reward': None}
{'t': 226000, 'eps': 0.7853, 'loss': 24.016748, 'buf_n': 226000, 'cum_reward': None}
{'t': 227000, 'eps': 0.78435, 'loss': 28.022919, 'buf_n': 227000, 'cum_reward': None}
{'t': 228000, 'eps': 0.7834, 'loss': 31.313204, 'buf_n': 228000, 'cum_reward': None}
{'t': 229000, 'eps': 0.78245, 'loss': 44.127502, 'buf_n': 229000, 'cum_reward': None}
{'t': 230000, 'eps': 0.7815, 'loss': 28.057049, 'buf_n': 230000, 'cum_reward': None}
{'t': 231000, 'eps': 0.78055, 'loss': 350.9835, 'buf_n': 231000, 'cum_reward': None}
{'t': 232000, 'eps': 0.7796, 'loss': 32.261177, 'buf_n': 232000, 'cum_reward': None}
{'t': 233000, 'eps': 0.7786500000000001, 'loss': 33.727036, 'buf_n': 233000, 'cum_reward': None}
{'t': 234000, 'eps': 0.7777000000000001, 'loss': 26.027973, 'buf_n': 234000, 'cum_reward': None}
{'t': 235000, 'eps': 0.77675, 'loss': 42.781418, 'buf_n': 235000, 'cum_reward': None}
{'t': 236000, 'eps': 0.7758, 'loss': 38.771317, 'buf_n': 236000, 'cum_reward': None}
{'t': 237000, 'eps': 0.77485, 'loss': 36.675426, 'buf_n': 237000, 'cum_reward': None}
{'t': 238000, 'eps': 0.7739, 'loss': 22.938763, 'buf_n': 238000, 'cum_reward': None}
{'t': 239000, 'eps': 0.77295, 'loss': 29.43994, 'buf_n': 239000, 'cum_reward': None}
{'t': 240000, 'eps': 0.772, 'loss': 36.163734, 'buf_n': 240000, 'cum_reward': None}
{'t': 241000, 'eps': 0.77105, 'loss': 31.937918, 'buf_n': 241000, 'cum_reward': None}
{'t': 242000, 'eps': 0.7701, 'loss': 165.7855, 'buf_n': 242000, 'cum_reward': None}
{'t': 243000, 'eps': 0.76915, 'loss': 23.683731, 'buf_n': 243000, 'cum_reward': None}
