{'t': 596674, 'cum_reward': 1803.0}
{'t': 597748, 'cum_reward': 2439.0}
{'t': 598923, 'cum_reward': 1207.0}
{'t': 599576, 'cum_reward': 1845.0}
{'t': 599938, 'cum_reward': 993.0}
{'t': 600759, 'cum_reward': 1913.0}
{'t': 601987, 'cum_reward': 1877.0}
{'t': 604078, 'cum_reward': 1508.0}
{'t': 604695, 'cum_reward': 1201.0}
{'t': 605856, 'cum_reward': 1449.0}
{'t': 608036, 'cum_reward': 2285.0}
{'t': 608675, 'cum_reward': 1358.0}
{'t': 611112, 'cum_reward': 2083.0}
{'t': 611530, 'cum_reward': 1365.0}
{'t': 611985, 'cum_reward': 1383.0}
{'t': 612553, 'cum_reward': 1414.0}
{'t': 612696, 'cum_reward': 678.0}
{'t': 612985, 'cum_reward': 1034.0}
{'t': 615700, 'cum_reward': 1804.0}
{'t': 616614, 'cum_reward': 1916.0}
{'t': 619062, 'cum_reward': 1214.0}
{'t': 619805, 'cum_reward': 1352.0}
{'t': 622723, 'cum_reward': 2163.0}
{'t': 622871, 'cum_reward': 666.0}
{'t': 624098, 'cum_reward': 1352.0}
{'t': 626625, 'cum_reward': 1357.0}
{'t': 627014, 'cum_reward': 1022.0}
{'t': 627995, 'cum_reward': 1107.0}
{'t': 628750, 'cum_reward': 2104.0}
{'t': 629354, 'cum_reward': 1559.0}
{'t': 631770, 'cum_reward': 1468.0}
{'t': 633909, 'cum_reward': 664.0}
{'t': 636113, 'cum_reward': 1037.0}
{'t': 638056, 'cum_reward': 1526.0}
{'t': 639140, 'cum_reward': 1968.0}
{'t': 640934, 'cum_reward': 1256.0}
{'t': 641641, 'cum_reward': 1169.0}
{'t': 642495, 'cum_reward': 1450.0}
{'t': 643399, 'cum_reward': 1458.0}
{'t': 643905, 'cum_reward': 1952.0}
{'t': 644772, 'cum_reward': 1295.0}
{'t': 645518, 'cum_reward': 1415.0}
{'t': 645923, 'cum_reward': 1012.0}
{'t': 647791, 'cum_reward': 1124.0}
{'t': 649628, 'cum_reward': 1887.0}
{'t': 650279, 'cum_reward': 1255.0}
{'t': 651109, 'cum_reward': 1671.0}
{'t': 651654, 'cum_reward': 1211.0}
{'t': 652560, 'cum_reward': 1741.0}
{'t': 652806, 'cum_reward': 1070.0}
{'t': 654391, 'cum_reward': 2449.0}
{'t': 654818, 'cum_reward': 1829.0}
{'t': 656497, 'cum_reward': 2045.0}
{'t': 657746, 'cum_reward': 2195.0}
{'t': 658685, 'cum_reward': 2339.0}
{'t': 659398, 'cum_reward': 1536.0}
{'t': 660306, 'cum_reward': 1310.0}
{'t': 661123, 'cum_reward': 1320.0}
{'t': 662369, 'cum_reward': 1539.0}
{'t': 665501, 'cum_reward': 1515.0}
{'t': 666156, 'cum_reward': 1333.0}
{'t': 668077, 'cum_reward': 1090.0}
{'t': 668232, 'cum_reward': 622.0}
{'t': 668781, 'cum_reward': 1825.0}
{'t': 669770, 'cum_reward': 1936.0}
{'t': 670778, 'cum_reward': 1845.0}
{'t': 671282, 'cum_reward': 1218.0}
{'t': 671755, 'cum_reward': 1372.0}
{'t': 672992, 'cum_reward': 2195.0}
{'t': 673790, 'cum_reward': 1083.0}
{'t': 677141, 'cum_reward': 1446.0}
{'t': 677694, 'cum_reward': 1168.0}
{'t': 678206, 'cum_reward': 1822.0}
{'t': 678450, 'cum_reward': 1067.0}
{'t': 679139, 'cum_reward': 1088.0}
{'t': 679968, 'cum_reward': 1420.0}
{'t': 680725, 'cum_reward': 1916.0}
{'t': 681326, 'cum_reward': 1798.0}
